SELECT sum("disk_ioutil") AS "sum_disk_ioutil" FROM ( SELECT mean("disk_ioutil") AS "disk_ioutil" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584540200s AND time <= 1584540270s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
name,tags,time,sum_disk_ioutil
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584540264000000000,19
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584540265000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584540266000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584540267000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584540268000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584540269000000000,0
name,tags,time,sum_disk_ioutil
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540200000000000,0
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540201000000000,0
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540202000000000,0
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540203000000000,0
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540204000000000,13
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540206000000000,36
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540207000000000,37
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540208000000000,37
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540209000000000,38
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540210000000000,38
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540211000000000,36
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540212000000000,36
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540213000000000,36
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540214000000000,36
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540215000000000,36
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540216000000000,37
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540217000000000,37
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540218000000000,37
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540219000000000,37
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540220000000000,37
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540221000000000,37
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540222000000000,37
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540223000000000,37
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540224000000000,37
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540225000000000,37
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540226000000000,39
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540227000000000,39
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540228000000000,39
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540229000000000,38
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540230000000000,36
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540231000000000,40
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540232000000000,41
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540233000000000,41
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540234000000000,41
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540235000000000,33
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540236000000000,22
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584540237000000000,39
