SELECT sum("cpu_total") AS "sum_cpu_total" FROM ( SELECT mean("cpu_total") AS "cpu_total" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584537460s AND time <= 1584537530s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537494000000000,87
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537495000000000,87
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537496000000000,87
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537497000000000,87
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537498000000000,84
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537499000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537500000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537501000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537502000000000,84
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537503000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537504000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537505000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537506000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537507000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537508000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537509000000000,80
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537510000000000,80
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537511000000000,80
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537512000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537513000000000,80
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537514000000000,80
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537515000000000,85
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537517000000000,79
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537518000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537519000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537520000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537521000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537522000000000,83
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537523000000000,92
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537524000000000,93
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537525000000000,93
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537526000000000,80
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537527000000000,9
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537528000000000,3
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537529000000000,1
name,tags,time,sum_cpu_total
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537460000000000,5
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537461000000000,9
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537462000000000,0
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537463000000000,0
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537464000000000,0
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537465000000000,0
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537466000000000,68
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537467000000000,73
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537468000000000,73
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537469000000000,68
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537470000000000,66
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537472000000000,66
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537473000000000,67
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537474000000000,67
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537475000000000,67
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537476000000000,59
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537477000000000,53
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537478000000000,50
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537479000000000,48
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537480000000000,42
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537481000000000,46
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537482000000000,46
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537483000000000,58
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537484000000000,58
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537485000000000,50
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537486000000000,52
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537487000000000,64
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537488000000000,63
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537489000000000,61
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537490000000000,62
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537491000000000,62
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537492000000000,66
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537493000000000,67
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537494000000000,62
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537495000000000,62
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537496000000000,61
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537497000000000,66
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537498000000000,75
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537499000000000,78
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537500000000000,79
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537501000000000,79
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537502000000000,78
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537503000000000,78
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537504000000000,77
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537505000000000,72
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537506000000000,72
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537507000000000,72
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537508000000000,72
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537509000000000,77
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537510000000000,74
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537511000000000,72
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537512000000000,71
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537513000000000,74
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537514000000000,71
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537515000000000,74
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537517000000000,75
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537518000000000,75
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537519000000000,70
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537520000000000,66
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537521000000000,66
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537522000000000,66
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537523000000000,66
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537524000000000,63
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537525000000000,65
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537526000000000,60
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537527000000000,12
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537528000000000,4
kvmtop.domains,UUID=6b1e6355-c8a6-422f-b6f9-fa20a72153d4,1584537529000000000,0
name,tags,time,sum_cpu_total
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537460000000000,8
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537461000000000,5
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537462000000000,3
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537463000000000,0
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537464000000000,1
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537465000000000,2
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537466000000000,79
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537467000000000,90
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537468000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537469000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537470000000000,100
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537472000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537473000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537474000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537475000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537476000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537477000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537478000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537479000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537480000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537481000000000,98
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537482000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537483000000000,94
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537484000000000,92
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537485000000000,90
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537486000000000,90
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537487000000000,92
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537488000000000,96
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537489000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537490000000000,95
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537491000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537492000000000,98
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537493000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537494000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537495000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537496000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537497000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537498000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537499000000000,98
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537500000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537501000000000,99
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537502000000000,95
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537503000000000,94
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537504000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537505000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537506000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537507000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537508000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537509000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537510000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537511000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537512000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537513000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537514000000000,84
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537515000000000,86
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537517000000000,86
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537518000000000,79
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537519000000000,84
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537520000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537521000000000,93
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584537522000000000,87
